ros-humble-action-msgs	1.2.2-1jammy.20260414.032330
ros-humble-launch-yaml	1.0.14-1jammy.20260304.195728
ros-humble-libcurl-vendor	3.1.3-1jammy.20260304.090502
ros-humble-libstatistics-collector	1.3.4-1jammy.20260421.024132
ros-humble-libyaml-vendor	1.2.2-2jammy.20260304.204644
ros-humble-lifecycle	0.20.9-1jammy.20260423.093452
ros-humble-lifecycle-msgs	1.2.2-1jammy.20260414.020206
ros-humble-logging-demo	0.20.9-1jammy.20260422.081031
ros-humble-map-msgs	2.1.0-3jammy.20260414.125600
ros-humble-message-filters	4.3.16-1jammy.20260421.070941
ros-humble-nav-msgs	4.9.1-1jammy.20260414.034929
ros-humble-orocos-kdl-vendor	0.2.5-1jammy.20260304.201339
ros-humble-osrf-pycommon	2.1.6-1jammy.20260226.011505
ros-humble-pcl-conversions	2.4.5-2jammy.20260421.073254
ros-humble-pcl-msgs	1.0.0-7jammy.20260414.125853
ros-humble-pendulum-control	0.20.9-1jammy.20260422.093755
ros-humble-pendulum-msgs	0.20.9-1jammy.20260414.020550
ros-humble-pluginlib	5.1.4-1jammy.20260329.184249
ros-humble-pybind11-vendor	2.4.2-1jammy.20260304.195023
ros-humble-python-cmake-module	0.10.0-2jammy.20260304.202554
ros-humble-python-orocos-kdl-vendor	0.2.5-1jammy.20260304.202632
ros-humble-python-qt-binding	1.1.3-1jammy.20260304.202555
ros-humble-qt-dotgraph	2.2.5-1jammy.20260330.190918
ros-humble-qt-gui	2.2.5-1jammy.20260330.190956
ros-humble-qt-gui-cpp	2.2.5-1jammy.20260330.192407
ros-humble-qt-gui-py-common	2.2.5-1jammy.20260330.190941
ros-humble-quality-of-service-demo-cpp	0.20.9-1jammy.20260421.080606
ros-humble-quality-of-service-demo-py	0.20.9-1jammy.20260421.071850
ros-humble-rcl	5.3.13-1jammy.20260421.021738
ros-humble-rcl-action	5.3.13-1jammy.20260421.024133
ros-humble-rcl-interfaces	1.2.2-1jammy.20260414.020551
ros-humble-rcl-lifecycle	5.3.13-1jammy.20260421.024128
ros-humble-rcl-logging-interface	2.3.2-1jammy.20260304.204603
ros-humble-rcl-logging-spdlog	2.3.2-1jammy.20260304.204758
ros-humble-rcl-yaml-param-parser	5.3.13-1jammy.20260421.015301
ros-humble-rclcpp	16.0.19-1jammy.20260421.025847
ros-humble-rclcpp-action	16.0.19-1jammy.20260421.045802
ros-humble-rclcpp-components	16.0.19-1jammy.20260421.074221
ros-humble-rclcpp-lifecycle	16.0.19-1jammy.20260421.045908
ros-humble-rclpy	3.3.21-1jammy.20260421.025639
ros-humble-rcpputils	2.4.6-1jammy.20260304.204148
ros-humble-rcutils	5.1.8-1jammy.20260304.203555
ros-humble-resource-retriever	3.1.3-1jammy.20260304.202624
ros-humble-rmw	6.1.2-1jammy.20260304.204455
ros-humble-rmw-connextdds	
ros-humble-rmw-cyclonedds-cpp	
ros-humble-rmw-dds-common	1.6.0-2jammy.20260414.021257
ros-humble-rmw-fastrtps-cpp	6.2.10-1jammy.20260414.141625
ros-humble-rmw-fastrtps-shared-cpp	6.2.10-1jammy.20260414.141110
ros-humble-rmw-implementation	2.8.5-1jammy.20260415.075542
ros-humble-rmw-implementation-cmake	6.1.2-1jammy.20260304.202612
ros-humble-robot-state-publisher	3.0.3-2jammy.20260422.081354
ros-humble-ros-base	0.10.0-1jammy.20260423.142225
ros-humble-ros-core	0.10.0-1jammy.20260423.142057
ros-humble-ros-environment	3.2.2-1jammy.20260226.005101
ros-humble-ros-gz-bridge	0.244.24-1jammy.20260422.064121
ros-humble-ros-gz-image	0.244.24-1jammy.20260422.073210
ros-humble-ros-gz-interfaces	0.244.24-1jammy.20260414.035014
ros-humble-ros-workspace	1.0.2-2jammy.20260224.185744
ros-humble-ros2action	0.18.18-1jammy.20260422.081552
ros-humble-ros2bag	0.15.16-1jammy.20260422.101646
ros-humble-ros2cli	0.18.18-1jammy.20260421.071921
ros-humble-ros2cli-common-extensions	0.1.2-1jammy.20260423.141638
ros-humble-ros2component	0.18.18-1jammy.20260422.090447
ros-humble-ros2doctor	0.18.18-1jammy.20260422.081639
ros-humble-ros2interface	0.18.18-1jammy.20260422.081645
ros-humble-ros2launch	0.19.13-1jammy.20260422.085809
ros-humble-ros2lifecycle	0.18.18-1jammy.20260422.085843
ros-humble-ros2multicast	0.18.18-1jammy.20260422.081645
ros-humble-ros2node	0.18.18-1jammy.20260422.081647
ros-humble-ros2param	0.18.18-1jammy.20260422.085910
ros-humble-ros2pkg	0.18.18-1jammy.20260422.081656
ros-humble-ros2plugin	5.1.4-1jammy.20260422.085811
ros-humble-ros2run	0.18.18-1jammy.20260422.085837
ros-humble-ros2service	0.18.18-1jammy.20260422.081752
ros-humble-ros2topic	0.18.18-1jammy.20260422.081807
ros-humble-rosbag2	0.15.16-1jammy.20260422.102523
ros-humble-rosbag2-compression	0.15.16-1jammy.20260422.093351
ros-humble-rosbag2-compression-zstd	0.15.16-1jammy.20260422.095132
ros-humble-rosbag2-cpp	0.15.16-1jammy.20260422.081948
ros-humble-rosbag2-interfaces	0.15.16-1jammy.20260414.021005
ros-humble-rosbag2-py	0.15.16-1jammy.20260422.101256
ros-humble-rosbag2-storage	0.15.16-1jammy.20260415.123423
ros-humble-rosbag2-storage-default-plugins	0.15.16-1jammy.20260415.123802
ros-humble-rosbag2-transport	0.15.16-1jammy.20260422.095413
ros-humble-rosgraph-msgs	1.2.2-1jammy.20260414.021041
ros-humble-rosidl-adapter	3.1.8-1jammy.20260304.201231
ros-humble-rosidl-cli	3.1.8-1jammy.20260304.195449
ros-humble-rosidl-cmake	3.1.8-1jammy.20260304.202821
ros-humble-rosidl-default-generators	1.2.1-1jammy.20260414.015818
ros-humble-rosidl-default-runtime	1.2.1-1jammy.20260304.210145
ros-humble-rosidl-generator-c	3.1.8-1jammy.20260304.204455
ros-humble-rosidl-generator-cpp	3.1.8-1jammy.20260304.204902
ros-humble-rosidl-generator-py	0.14.6-1jammy.20260304.205753
ros-humble-rosidl-generator-rs	0.4.12-1jammy.20260414.015644
ros-humble-rosidl-parser	3.1.8-1jammy.20260304.202637
ros-humble-rosidl-runtime-c	3.1.8-1jammy.20260304.204205
ros-humble-rosidl-runtime-cpp	3.1.8-1jammy.20260304.204656
ros-humble-rosidl-runtime-py	0.9.3-1jammy.20260414.141026
ros-humble-rosidl-typesupport-c	2.0.2-1jammy.20260304.204636
ros-humble-rosidl-typesupport-cpp	2.0.2-1jammy.20260304.205041
ros-humble-rosidl-typesupport-fastrtps-c	2.2.4-1jammy.20260304.205703
ros-humble-rosidl-typesupport-fastrtps-cpp	2.2.4-1jammy.20260304.205234
ros-humble-rosidl-typesupport-interface	3.1.8-1jammy.20260304.202725
ros-humble-rosidl-typesupport-introspection-c	3.1.8-1jammy.20260304.204454
ros-humble-rosidl-typesupport-introspection-cpp	3.1.8-1jammy.20260304.204904
ros-humble-rpyutils	0.2.2-1jammy.20260304.195455
ros-humble-rqt-action	2.0.1-3jammy.20260422.091439
ros-humble-rqt-bag	1.1.6-1jammy.20260422.101611
ros-humble-rqt-bag-plugins	1.1.6-1jammy.20260422.102636
ros-humble-rqt-common-plugins	1.2.0-1jammy.20260422.102823
ros-humble-rqt-console	2.0.3-1jammy.20260422.091302
ros-humble-rqt-graph	1.3.2-1jammy.20260422.091317
ros-humble-rqt-gui	1.1.9-1jammy.20260421.071935
ros-humble-rqt-gui-cpp	1.1.9-1jammy.20260421.074755
ros-humble-rqt-gui-py	1.1.9-1jammy.20260422.082215
ros-humble-rqt-image-view	1.2.0-2jammy.20260421.075905
ros-humble-rqt-msg	1.2.0-1jammy.20260422.091409
ros-humble-rqt-plot	1.1.5-1jammy.20260422.091326
ros-humble-rqt-publisher	1.5.0-1jammy.20260422.091336
ros-humble-rqt-py-common	1.1.9-1jammy.20260421.071938
ros-humble-rqt-py-console	1.0.2-3jammy.20260422.091343
ros-humble-rqt-reconfigure	1.1.4-1jammy.20260422.091404
ros-humble-rqt-service-caller	1.0.5-3jammy.20260422.091412
ros-humble-rqt-shell	1.0.2-3jammy.20260422.091408
ros-humble-rqt-srv	1.0.3-3jammy.20260422.091441
ros-humble-rqt-topic	1.5.1-1jammy.20260422.091415
ros-humble-rttest	0.13.0-2jammy.20260304.202749
ros-humble-rviz-assimp-vendor	11.2.26-1jammy.20260304.200321
ros-humble-rviz-common	11.2.26-1jammy.20260422.093806
ros-humble-rviz-default-plugins	11.2.26-1jammy.20260422.100642
ros-humble-rviz-ogre-vendor	11.2.26-1jammy.20260304.200738
ros-humble-rviz-rendering	11.2.26-1jammy.20260304.205048
ros-humble-rviz2	11.2.26-1jammy.20260422.110656
ros-humble-sdl2-vendor	3.3.0-1jammy.20260304.195240
ros-humble-sensor-msgs	4.9.1-1jammy.20260605.122840
ros-humble-sensor-msgs-py	4.9.1-1jammy.20260414.141436
ros-humble-shape-msgs	4.9.1-1jammy.20260414.130158
ros-humble-shared-queues-vendor	0.15.16-1jammy.20260304.075306
ros-humble-spdlog-vendor	1.3.1-1jammy.20260304.202915
ros-humble-sqlite3-vendor	0.15.16-1jammy.20260304.195038
ros-humble-sros2	0.10.9-1jammy.20260423.141439
ros-humble-sros2-cmake	0.10.9-1jammy.20260423.141638
ros-humble-statistics-msgs	1.2.2-1jammy.20260414.021053
ros-humble-std-msgs	4.9.1-1jammy.20260605.120235
ros-humble-std-srvs	4.9.1-1jammy.20260414.021352
ros-humble-stereo-msgs	4.9.1-1jammy.20260414.125913
ros-humble-tango-icons-vendor	0.1.1-3jammy.20260304.202920
ros-humble-teleop-twist-joy	2.4.8-1jammy.20260422.082433
ros-humble-teleop-twist-keyboard	2.4.1-1jammy.20260421.072001
ros-humble-tf2	0.25.20-2jammy.20260414.140805
ros-humble-tf2-bullet	0.25.20-2jammy.20260422.082433
ros-humble-tf2-eigen	0.25.20-2jammy.20260422.082438
ros-humble-tf2-eigen-kdl	0.25.20-2jammy.20260415.070245
ros-humble-tf2-geometry-msgs	0.25.20-2jammy.20260422.082444
ros-humble-tf2-kdl	0.25.20-2jammy.20260422.082450
ros-humble-tf2-msgs	0.25.20-2jammy.20260414.034544
ros-humble-tf2-py	0.25.20-2jammy.20260421.072000
ros-humble-tf2-ros	0.25.20-2jammy.20260421.080016
ros-humble-tf2-ros-py	0.25.20-2jammy.20260421.072224
ros-humble-tf2-sensor-msgs	0.25.20-2jammy.20260422.082452
ros-humble-tf2-tools	0.25.20-2jammy.20260421.072448
ros-humble-tinyxml-vendor	0.8.3-2jammy.20260304.195406
ros-humble-tinyxml2-vendor	0.7.7-1jammy.20260304.195411
ros-humble-tlsf	0.7.0-2jammy.20260304.202930
ros-humble-tlsf-cpp	0.13.0-2jammy.20260422.082512
ros-humble-topic-monitor	0.20.9-1jammy.20260421.072046
ros-humble-tracetools	4.1.2-1jammy.20260304.201640
ros-humble-trajectory-msgs	4.9.1-1jammy.20260414.130526
ros-humble-turtlesim	1.4.3-1jammy.20260421.074225
ros-humble-uncrustify-vendor	2.0.2-2jammy.20260304.195304
ros-humble-unique-identifier-msgs	2.2.1-3jammy.20260414.021405
ros-humble-urdf	2.6.1-1jammy.20260329.185456
ros-humble-urdf-parser-plugin	2.6.1-1jammy.20260304.201738
ros-humble-urdfdom	3.0.2-2jammy.20260304.202852
ros-humble-urdfdom-headers	1.0.6-2jammy.20260226.012553
ros-humble-vision-msgs	4.1.1-1jammy.20260414.130423
ros-humble-visualization-msgs	4.9.1-1jammy.20260414.125941
ros-humble-yaml-cpp-vendor	8.0.2-1jammy.20260304.195332
ros-humble-zstd-vendor	0.15.16-1jammy.20260304.195400
